id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,timezone_name,type,source
1267,Pontivy Airport,Pontivy,France,\N,LFED,48.05849838,-2.921829939,407,1,Europe/Paris,airport,OurAirports
1268,Aubigny-sur-Nère Airport,Aubigny-sur-nere,France,\N,LFEH,47.480556,2.394167,630,1,Europe/Paris,airport,OurAirports
1269,Guiscriff Scaer Airport,Guiscriff-scaer,France,\N,LFES,48.05250168,-3.664720058,574,1,Europe/Paris,airport,OurAirports
1270,Ancenis Airport,Ancenis,France,\N,LFFI,47.40810013,-1.17750001,111,1,Europe/Paris,airport,OurAirports
1271,Brienne-le-Château Airport,Brienne-le Chateau,France,\N,LFFN,48.42979813,4.482220173,381,1,Europe/Paris,airport,OurAirports
1272,Colmar-Houssen Airport,Colmar,France,CMR,LFGA,48.10990143,7.35901022,628,1,Europe/Paris,airport,OurAirports
1273,Beaune-Challanges Airport,Beaune,France,\N,LFGF,47.005901,4.89342,656,1,Europe/Paris,airport,OurAirports
1274,Dole-Tavaux Airport,Dole,France,DLE,LFGJ,47.042686,5.435063,645,1,Europe/Paris,airport,OurAirports
1275,Joigny Airport,Joigny,France,\N,LFGK,47.99219894,3.39222002,732,1,Europe/Paris,airport,OurAirports
1276,Verdun-Le Rozelier Airfield,Verdun,France,\N,LFGW,49.122398,5.46905,1230,1,Europe/Paris,airport,OurAirports
1277,Aubenas-Ardèche Méridional Airport,Aubenas-vals-lanas,France,OBS,LFHO,44.544203,4.372192,923,1,Europe/Paris,airport,OurAirports
1278,Le Puy-Loudes Airport,Le Puy,France,LPY,LFHP,45.08069992,3.7628901,2731,1,Europe/Paris,airport,OurAirports
1279,Saint-Flour-Coltines Airport,St.-flour,France,\N,LFHQ,45.07640076,2.993609905,3218,1,Europe/Paris,airport,OurAirports
1280,Bourg-Ceyzériat Airport,Bourg,France,\N,LFHS,46.20090103,5.292029858,857,1,Europe/Paris,airport,OurAirports
1281,Villefranche-Tarare Airport,Vilefrance,France,\N,LFHV,45.919983,4.634931,1076,1,Europe/Paris,airport,OurAirports
1282,Moulins-Montbeugny Airport,Moulins,France,\N,LFHY,46.5345993,3.423719883,915,1,Europe/Paris,airport,OurAirports
1283,Saint-Affrique-Belmont Airport,St.-afrique-belmont,France,\N,LFIF,43.82329941,2.745280027,1686,1,Europe/Paris,airport,OurAirports
1284,Cassagnes-Bégonhès Airport,Cassagnes-beghones,France,\N,LFIG,44.17779922,2.515000105,2024,1,Europe/Paris,airport,OurAirports
1285,Metz-Nancy-Lorraine Airport,Metz,France,ETZ,LFJL,48.98210144,6.251319885,870,1,Europe/Paris,airport,OurAirports
1286,Bastia-Poretta Airport,Bastia,France,BIA,LFKB,42.55270004,9.483730316,26,1,Europe/Paris,airport,OurAirports
1287,Calvi-Sainte-Catherine Airport,Calvi,France,CLY,LFKC,42.5244444,8.7930556,209,1,Europe/Paris,airport,OurAirports
1288,Figari Sud-Corse Airport,Figari,France,FSC,LFKF,41.50059891,9.097780228,87,1,Europe/Paris,airport,OurAirports
1289,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA,LFKJ,41.92359924,8.802920341,18,1,Europe/Paris,airport,OurAirports
1290,Propriano Airport,Propriano,France,PRP,LFKO,41.66059875,8.889749527,13,1,Europe/Paris,airport,OurAirports
1291,Solenzara (BA 126) Air Base,Solenzara,France,SOZ,LFKS,41.92440033,9.406000137,28,1,Europe/Paris,airport,OurAirports
1292,Corte Airport,Corte,France,\N,LFKT,42.29359818,9.193059921,1132,1,Europe/Paris,airport,OurAirports
1293,Auxerre-Branches Airport,Auxerre,France,AUF,LFLA,47.85020065,3.49710989,523,1,Europe/Paris,airport,OurAirports
1294,Chambéry-Savoie Airport,Chambery,France,CMF,LFLB,45.63809967,5.88022995,779,1,Europe/Paris,airport,OurAirports
1295,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,France,CFE,LFLC,45.7867012,3.169169903,1090,1,Europe/Paris,airport,OurAirports
1296,Bourges Airport,Bourges,France,BOU,LFLD,47.05810165,2.370280027,529,1,Europe/Paris,airport,OurAirports
1297,Chambéry-Challes-les-Eaux Airport,Chambery,France,\N,LFLE,45.56110001,5.975759983,973,1,Europe/Paris,airport,OurAirports
1298,Chalon-Champforgeuil Airport,Chalon,France,\N,LFLH,46.8260994,4.817629814,623,1,Europe/Paris,airport,OurAirports
1299,Annemasse Airport,Annemasse,France,QNJ,LFLI,46.19200134,6.268390179,1620,1,Europe/Paris,airport,OurAirports
1300,Lyon Saint-Exupéry Airport,Lyon,France,LYS,LFLL,45.725556,5.081111,821,1,Europe/Paris,airport,OurAirports
1301,Mâcon-Charnay Airport,Macon,France,\N,LFLM,46.295101,4.79577,728,1,Europe/Paris,airport,OurAirports
1302,Saint-Yan Airport,St.-yan,France,SYT,LFLN,46.41249847,4.013259888,796,1,Europe/Paris,airport,OurAirports
1303,Roanne-Renaison Airport,Roanne,France,RNE,LFLO,46.05830002,4.00138998,1106,1,Europe/Paris,airport,OurAirports
1304,Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,France,NCY,LFLP,45.9308333,6.1063889,1521,1,Europe/Paris,airport,OurAirports
1305,Grenoble-Isère Airport,Grenoble,France,GNB,LFLS,45.36289978,5.329370022,1302,1,Europe/Paris,airport,OurAirports
1306,Montluçon-Domérat Airport,Montlucon,France,\N,LFLT,46.352501,2.57049,771,1,Europe/Paris,airport,OurAirports
1307,Valence-Chabeuil Airport,Valence,France,VAF,LFLU,44.9216,4.9699,525,1,Europe/Paris,airport,OurAirports
1308,Vichy-Charmeil Airport,Vichy,France,VHY,LFLV,46.16970062,3.403739929,817,1,Europe/Paris,airport,OurAirports
1309,Aurillac Airport,Aurillac,France,AUR,LFLW,44.89139938,2.421940088,2096,1,Europe/Paris,airport,OurAirports
1310,"Châteauroux-Déols ""Marcel Dassault"" Airport",Chateauroux,France,CHR,LFLX,46.860278,1.721111,529,1,Europe/Paris,airport,OurAirports
1311,Lyon-Bron Airport,Lyon,France,LYN,LFLY,45.72719955,4.944270134,659,1,Europe/Paris,airport,OurAirports
1312,Aix-en-Provence (BA 114) Airport,Aix-les-milles,France,\N,LFMA,43.5056,5.36778,367,1,Europe/Paris,airport,OurAirports
1313,Le Luc-Le Cannet Airport,Le Luc,France,\N,LFMC,43.38470078,6.387139797,265,1,Europe/Paris,airport,OurAirports
1314,Cannes-Mandelieu Airport,Cannes,France,CEQ,LFMD,43.542,6.95348,13,1,Europe/Paris,airport,OurAirports
1315,Saint-Étienne-Bouthéon Airport,St-Etienne,France,EBU,LFMH,45.54059982,4.296390057,1325,1,Europe/Paris,airport,OurAirports
1316,Istres Le Tubé/Istres Air Base (BA 125) Airport,Istres,France,\N,LFMI,43.522701,4.92384,82,1,Europe/Paris,airport,OurAirports
1317,Carcassonne Airport,Carcassonne,France,CCF,LFMK,43.2159996,2.306319952,433,1,Europe/Paris,airport,OurAirports
1318,Marseille Provence Airport,Marseille,France,MRS,LFML,43.43927192,5.221424103,74,1,Europe/Paris,airport,OurAirports
1319,Nice-Côte d'Azur Airport,Nice,France,NCE,LFMN,43.65840149,7.215869904,12,1,Europe/Paris,airport,OurAirports
1320,Orange-Caritat (BA 115) Air Base,Orange,France,XOG,LFMO,44.14049911,4.8667202,197,1,Europe/Paris,airport,OurAirports
1321,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan,France,PGF,LFMP,42.74039841,2.87067008,144,1,Europe/Paris,airport,OurAirports
1322,Le Castellet Airport,Le Castellet,France,CTT,LFMQ,43.25249863,5.785190105,1391,1,Europe/Paris,airport,OurAirports
1323,Alès-Deaux Airport,Ales,France,\N,LFMS,44.069698,4.14212,668,1,Europe/Paris,airport,OurAirports
1324,Montpellier-Méditerranée Airport,Montpellier,France,MPL,LFMT,43.57619858,3.963010073,17,1,Europe/Paris,airport,OurAirports
1325,Béziers-Vias Airport,Beziers,France,BZR,LFMU,43.32350159,3.353899956,56,1,Europe/Paris,airport,OurAirports
1326,Avignon-Caumont Airport,Avignon,France,AVN,LFMV,43.90729904,4.901830196,124,1,Europe/Paris,airport,OurAirports
